ID,BUS_ID,CAPACITY,CATEGORY,LONGITUDE,LATITUDE,MB_SYMBOL,NAME_ENG,NAME_NAT,SYMBOL,TSO,VISIBLE
11,42,-1,,34.914551,32.583849,other_nl,Hadera, ,Other or not listed,,1
506,123,1212,1,21.643066,40.388397,fossil_brown_lignite,Kardia, ,Brown coal/Lignite,,-1
507,1468,0,0,2.84545900000001,36.377068,fossil_mixed_cons,Boufarik, ,"Mixed fuels, under construction", ,1
12,43,-1,,34.804688,32.240683,other_nl,Tel-Aviv, ,Other or not listed,,1
508,6632,672,,38.122559,37.002553,hydro_pure_storage,Birecik, ,Hydro pure storage,,1
509,1514,990,,-8.536377,41.021355,fossil_coal_gas,T. Outeiro, ,Fossil gas,,1
13,44,-1,,35.046387,32.907262,other_nl,Haifa, ,Other or not listed,,1
510,1502,220,,-7.80029300000001,41.689322,hydro_mixed,Salamonde II, ,Hydro mixed pump storage,,1
511,1536,159,,-8.31665,39.588757,hydro_pure_storage,Castelo de Bode, ,Hydro pure storage,,1
14,6675,-1,,34.387207,31.512996,other_nl,Gaza, ,Other or not listed,,1
512,1556,57,,-7.866211,37.300275,wind,Malhanito, ,Wind farm,,1
15,54,-1,,39.638672,24.686952,other_nl,Al Madina, ,Other or not listed,,1
16,46,-1,,38.825684,23.513626,other_nl,Rabigh, ,Other or not listed,,1
513,1535,132,,-7.822266,39.639538,hydro_ror,Fratel, ,Hydro run of river & pondage,,1
17,51,-1,,39.693604,21.943046,other_nl,Jeddah, ,Other or not listed,,1
514,1563,108,,-8.23974600000001,39.876019,hydro_pure_storage,Cabril, ,Hydro pure storage,,1
515,1537,369,,-6.42700200000001,41.5497,hydro_ror,Miranda, ,Hydro run of river & pondage,,1
18,65,-1,,40.275879,22.014361,other_nl,Makkah, ,Other or not listed,,1
518,1522,240,,-7.39379900000001,41.286062,hydro_ror,Valeira, ,Hydro run of river & pondage,,1
19,67,-1,,40.385742,21.667639,other_nl,Taif, ,Other or not listed,,1
519,1522,58,,-7.53662100000001,41.112469,hydro_pure_storage,Tabuaço, ,Hydro pure storage,,1
20,59,-1,,39.70459,21.596151,other_nl,Shoaibah, ,Other or not listed,,1
21,63,-1,,39.671631,22.08564,other_nl,Jeddah, ,Other or not listed,,1
22,53,-1,,40.341797,27.965295,other_nl,Hail, ,Other or not listed,,1
520,1519,180,,-7.745361,41.186922,hydro_ror,Régua, ,Hydro run of river & pondage,,1
23,49,-1,,39.616699,24.467151,other_nl,Al Munwwarah, ,Other or not listed,,1
521,1502,68,,-7.92114300000001,41.738528,hydro_mixed,A.Rabagão, ,Hydro mixed pump storage,,1
24,52,-1,,39.25415,22.917923,other_nl_cons,Ipp, ,"Other or not listed, under construction",,1
522,1753,125,,-8.15185500000001,41.763117,hydro_mixed,V.das Furnas, ,Hydro mixed pump storage,,1
25,59,-1,,37.133789,20.468189,other_nl_cons,Port Sudan, ,"Other or not listed, under construction",,1
523,1503,144,,-7.66845700000001,41.754922,hydro_pure_storage,Vila Nova, ,Hydro pure storage,,1
26,119,90,2,22.038574,38.470794,wind,WF-5,WF-5,Wind farm,,-1
524,1545,62,,-8.20678699999999,41.557922,hydro_pure_storage,Caniçada, ,Hydro pure storage,,1
27,77,418,,33.21167,34.732584,fossil_oil,Moni P.S., ,Fossil oil,,1
525,1503,736,,-7.63549799999999,41.697526,hydro_mixed_cons,Frades II, ,"Hydro mixed pump storage, under construction",,1
28,78,247,,33.376465,34.759666,fossil_oil,Vasilikos P.S., ,Fossil oil,,1
526,1517,201,,-8.16284199999999,41.029643,hydro_ror,Carrapatelo, ,Hydro run of river & pondage,,1
29,80,520,,33.804932,34.966999,fossil_oil,Dhekelia P.S., ,Fossil oil,,1
527,1517,140,,-8.21777299999999,41.079351,hydro_mixed,Torrão, ,Hydro mixed pump storage,,1
528,1488,336,,-8.20678699999999,40.405131,hydro_mixed,Aguieira, ,Hydro mixed pump storage,,1
30,82,160,,24.356689,41.99216,hydro_pure_ps,Orfey,Opфeй,Hydro pure pump storage,,1
529,1528,576,,-8.20678699999999,39.419221,fossil_coal_hard,Pego, ,Hard coal,,1
31,83,88,,24.455566,41.746726,hydro_ror,Devin,Девин,Hydro run of river & pondage,,1
530,1532,117,,-8.51440399999999,40.963308,hydro_ror,Crestuma, ,Hydro run of river & pondage,,1
32,84,60,,24.32373,41.640078,hydro_ror,Teshel,Тешел,Hydro run of river & pondage,,1
33,92,24,,20.039062,41.566142,hydro_pure_storage,Ulze, ,Hydro pure storage,,1
531,1502,780,,-7.89916999999999,41.795888,hydro_mixed,Frades, ,Hydro mixed pump storage,,1
532,1546,97,,-7.97607400000001,40.019201,wind,Pampilhosa, ,Wind farm,,1
34,515,100,,19.434814,40.446947,fossil_mixed,Vlore, ,Mixed fuels,,1
533,1497,124,,-7.05322299999999,40.128491,wind,Penamacor, ,Wind farm,,1
35,459,23,,20.050049,39.926588,hydro_ror,Bistrice, ,Hydro run of river & pondage,,1
534,1500,1176,,-9.04174799999999,39.155622,fossil_coal_gas,Ribatejo, ,Fossil gas,,1
36,511,25,,19.962158,41.640078,hydro_pure_storage,Shkopet, ,Hydro pure storage,,1
535,1528,837,,-8.10791000000001,39.410733,fossil_coal_gas,Pego 2, ,Fossil gas,,1
37,102,210,2,21.005859,39.859155,hydro_pure_storage,Piges Aoou, ,Hydro pure storage,,-1
536,1540,826,,-8.712158,40.12009,fossil_coal_gas,Lares, ,Fossil gas,,1
38,101,333.600006,2,21.269531,39.257778,hydro_pure_storage,Pournari, ,Hydro pure storage,,-1
537,1554,254,,-7.54760699999999,38.186387,hydro_mixed,Alqueva II, ,Hydro mixed pump storage,,1
39,103,81.300003,2,21.335449,38.61687,hydro_pure_storage,Stratos, ,Hydro pure storage,,-1
538,1610,-1,,-5.09765600000001,39.3173,hydro_ror,Cijara, ,Hydro run of river & pondage,,1
40,103,437.200012,2,21.643066,38.822591,hydro_pure_storage,Kremasta, ,Hydro pure storage,,-1
539,1635,881,,-6.185303,41.352072,hydro_ror,Villalcampo, ,Hydro run of river & pondage,,1
41,103,320,2,21.390381,38.771216,hydro_pure_storage,Kastraki, ,Hydro pure storage,,-1
541,1627,254,,-6.756592,40.979898,hydro_ror,Saucelle I, ,Hydro run of river & pondage,,1
42,107,129.899994,2,21.796875,39.283294,hydro_pure_storage,N. Plastiras, ,Hydro pure storage,,-1
542,1763,276,,-6.756592,40.855371,hydro_ror,Saucelle II, ,Hydro run of river & pondage,,1
43,119,70,2,21.928711,37.814124,hydro_pure_storage,Ladonas, ,Hydro pure storage,,-1
543,1629,-1,,-7.41577099999999,41.943149,hydro_ror,Soutelo, ,Hydro run of river & pondage,,1
44,99,845,1,22.280273,37.422526,fossil_coal_gas_cons,Megalopoli, ,"Fossil gas, under construction",,-1
544,1673,-1,,-7.40478500000001,39.58029,hydro_ror,Cedillo, ,Hydro run of river & pondage,,1
45,1379,355.200012,1,23.961182,35.487511,fossil_oil,Chania, ,Fossil oil,,-1
545,1591,-1,,-6.87744100000001,39.791655,hydro_ror,J.M. de Oriol, ,Hydro run of river & pondage,,1
46,114,384,2,24.356689,41.244772,hydro_mixed,Thissavros, ,Hydro mixed pump storage,,-1
546,1614,131,,-6.273193,39.749434,hydro_ror,Torrejón, ,Hydro run of river & pondage,,1
47,1379,278.799988,1,24.927979,35.371135,fossil_oil,Linoperamata, ,Fossil oil,,-1
547,1631,-1,,-6.33911100000001,40.086477,hydro_ror,Guijo de G., ,Hydro run of river & pondage,,1
48,458,250,1,27.949219,36.261992,fossil_oil,Soroni, ,Fossil oil,,-1
49,124,593,1,21.665039,40.488737,fossil_brown_lignite,Ptolemaida, ,Brown coal/Lignite,,-1
548,1631,-1,,-6.26220699999999,40.279526,hydro_ror,G. y Galan, ,Hydro run of river & pondage,,1
550,1689,1957,,-6.141357,39.639538,other_nl,C.N. Almaraz, ,Other or not listed,,1
50,124,50,2,21.917725,40.663973,hydro_pure_storage,Agras, ,Hydro pure storage,,-1
551,1612,249,,-5.66894500000001,39.740986,hydro_ror,Valdecañas, ,Hydro run of river & pondage,,1
51,121,108,2,22.510986,40.396764,hydro_pure_storage,Assomata, ,Hydro pure storage,,-1
52,122,315,2,22.401123,40.33817,hydro_mixed,Sfikia, ,Hydro mixed pump storage,,-1
552,1570,-1,,-4.064941,39.300299,other_nl,Aceca, ,Other or not listed,,1
53,122,375,2,22.324219,40.271144,hydro_pure_storage,Polyphyto, ,Hydro pure storage,,-1
553,1662,-1,,-2.13134800000001,40.763901,other_nl,Trillo, ,Other or not listed,,1
54,110,360,1,23.69751,37.926868,fossil_coal_gas,Ag. Georgios, ,Fossil gas,,-1
554,1623,221,,-4.08691400000001,38.651198,other_nl,Puertollano, ,Other or not listed,,1
55,114,116,2,24.664307,41.253032,hydro_pure_storage,Platanovrisi, ,Hydro pure storage,,-1
555,1602,-1,,-4.97680699999999,38.074041,other_nl,Puentenuevo, ,Other or not listed,,1
56,116,484.600006,1,25.367432,41.120746,fossil_coal_gas,Komotini, ,Fossil gas,,-1
556,1573,-1,,-7.08618200000001,37.212832,other_nl,C.Colon, ,Other or not listed,,1
57,115,330,1,21.478271,40.838749,fossil_brown_lignite,Meliti, ,Brown coal/Lignite,,-1
557,1587,-1,,-6.03149400000001,37.640335,hydro_ror,Guillena, ,Hydro run of river & pondage,,1
58,102,160,2,21.203613,39.554883,hydro_pure_storage_cons,Messochora, ,"Hydro pure storage, under construction",,-1
558,1738,-1,,-5.32836900000001,36.217687,other_nl,Bahia de Algeciras, ,Other or not listed,,1
59,118,579.799988,1,23.203125,38.289937,fossil_coal_gas,Heron, ,Fossil gas,,-1
559,1990,-1,,-5.53710900000001,36.040216,other_nl,Tarifa, ,Other or not listed,,1
60,106,448.5,1,22.543945,38.367502,fossil_coal_gas,Ag.Nikolaos, ,Fossil gas,,-1
560,1597,-1,,-4.735107,36.897194,hydro_ror,Tajo de la Encantada, ,Hydro run of river & pondage,,1
61,121,395,1,22.609863,40.647304,fossil_coal_gas,Enthes, ,Fossil gas,,-1
561,1766,-1,,-4.152832,37.291535,hydro_ror,Jauja, ,Hydro run of river & pondage,,1
62,1379,195.199997,1,26.114502,35.074965,fossil_oil,Atherinolakkos, ,Fossil oil,,-1
562,1650,1159,,-1.955566,36.958671,other_nl,Litoral de Almería, ,Other or not listed,,1
63,458,115,1,27.103271,36.809285,fossil_oil,Kos, ,Fossil oil,,-1
563,6234,-1,,-6.448975,41.845013,hydro_ror,Valparaiso, ,Hydro run of river & pondage,,1
64,118,421.600006,1,23.126221,38.186387,fossil_coal_gas,Thisvi, ,Fossil gas,,-1
564,1713,-1,,-1.65893599999999,41.934977,hydro_ror,Tudela, ,Hydro run of river & pondage,,1
65,129,456,,14.348145,40.813809,fossil_coal_gas,Levante, ,Fossil gas,,1
565,1630,-1,,-5.89965800000001,41.47566,hydro_ror,Zamora, ,Hydro run of river & pondage,,1
66,137,369,,9.30541999999999,40.094882,hydro_ror,Taloro, ,Hydro run of river & pondage,,1
566,1631,-1,,-6.503906,40.472024,hydro_ror,Ciudad Rodrigo, ,Hydro run of river & pondage,,1
67,169,120,,14.161377,41.516804,hydro_mixed,Capriati, ,Hydro mixed pump storage,,1
567,1609,-1,,-3.47167999999999,36.75649,hydro_ror,Duque, ,Hydro run of river & pondage,,1
68,166,1200,,14.106445,41.385052,hydro_ror,Presenzano, ,Hydro run of river & pondage,,1
568,1989,-1,,-3.54858400000001,36.923548,hydro_ror,Poqueira, ,Hydro run of river & pondage,,1
69,191,415,,14.468994,41.029643,fossil_oil,Maddaloni, ,Fossil oil,,1
569,1609,-1,,-3.73535199999999,36.774092,hydro_ror,Izbor, ,Hydro run of river & pondage,,1
70,135,272,,16.875,41.104191,fossil_oil,Bari, ,Fossil oil,,1
570,1597,-1,,-4.724121,36.967449,hydro_ror,Nuevo Chorro, ,Hydro run of river & pondage,,1
71,201,1436,,17.95166,40.638967,fossil_oil,Brindisi /N., ,Fossil oil,,1
571,1738,-1,,-5.29540999999999,36.27085,hydro_ror,Bahia de Algeciras, ,Hydro run of river & pondage,,1
72,130,2910,,18.061523,40.513799,fossil_brown_lignite,Brindisi /S., ,Brown coal/Lignite,,1
572,1675,-1,,-5.75683600000001,36.173357,other_nl,Facinas, ,Other or not listed,,1
73,170,1979,,16.534424,39.512517,fossil_oil,Rossano, ,Fossil oil,,1
573,1596,-1,,-5.64697299999999,36.208823,hydro_ror,San Roque, ,Hydro run of river & pondage,,1
74,182,1455,,15.292969,38.212288,fossil_oil,S. F. Mela, ,Fossil oil,,1
574,1683,-1,,-5.69091799999999,36.800488,hydro_ror,Arcos de la Frontera (Norte), ,Hydro run of river & pondage,,1
75,132,611,,8.47045899999999,39.164141,fossil_brown_lignite,Sulcis, ,Brown coal/Lignite,,1
575,1573,-1,,-7.119141,37.274053,nuclear_cons,C.Colon, ,"Nuclear, under construction",,1
76,176,660,,14.985352,37.07271,hydro_ror,Anapo, ,Hydro run of river & pondage,,1
576,1671,-1,,-2.19726599999999,41.71393,wind,Wind farms, ,Wind farm,,1
577,1694,-1,,-2.72460899999999,41.029643,wind,Wind farms, ,Wind farm,,1
77,171,679,,15.26001,37.011326,fossil_oil,ISAB, ,Fossil oil,,1
578,1652,116,,-3.12011699999999,39.172659,wind,Wind farms, ,Wind farm,,1
78,154,423,,14.0625,40.805494,fossil_oil,Giugliano, ,Fossil oil,,1
579,1727,-1,,-4.866943,37.028869,wind,Wind farms, ,Wind farm,,1
79,139,200,,8.843994,39.181175,fossil_oil,Assemini, ,Fossil oil,,1
580,1682,-1,,-3.14209,37.396346,wind,Wind farms, ,Wind farm,,1
581,1681,-1,,-1.84570299999999,38.83115,wind,Wind farms, ,Wind farm,,1
80,216,475,,15.556641,41.162114,fossil_coal_gas,Candela, ,Fossil gas,,1
582,1659,-1,,-1.97753899999999,39.478606,wind,Olmedilla, ,Wind farm,,1
81,185,912,,16.138916,38.281313,fossil_coal_gas,Rizziconi, ,Fossil gas,,1
583,1011,54,,-8.59130900000001,38.453589,biomass,Portucel Setúbal, ,Biomass,,1
82,147,-1,,12.524414,37.814124,wind,Trapani-Salemi, ,Wind farm,,1
584,1528,81,,-7.92114300000001,39.436193,hydro_ror,Belver, ,Hydro run of river & pondage,,1
83,149,48,,13.19458,38.022131,wind,Partinico, ,Wind farm,,1
585,1538,103,,-8.83300799999999,39.419221,wind,Candeeiros, ,Wind farm,,1
84,202,136,,17.050781,38.942321,wind,Capo Rizzuto, ,Wind farm,,1
586,1507,78,,-8.81103500000001,39.554883,wind,Chão Falcão, ,Wind farm,,1
85,131,474,,8.31665,40.84706,fossil_brown_lignite,Fiume Santo, ,Brown coal/Lignite,,1
587,1546,130,,-7.866211,39.867588,wind,P. Interior, ,Wind farm,,1
86,132,388,,8.404541,39.283294,fossil_oil,Portoscuso, ,Fossil oil,,1
588,1495,114,,-7.62451200000001,39.97712,wind,Gardunha, ,Wind farm,,1
87,214,690,,9.05273399999999,39.087436,fossil_oil,Sarlux, ,Fossil oil,,1
589,1546,102,,-7.81127899999999,40.145289,wind,Toutiço, ,Wind farm,,1
88,153,1691,,13.590088,37.996163,fossil_oil,Termini, ,Fossil oil,,1
590,1553,50,,-8.21777299999999,40.103286,wind,Lousã II, ,Wind farm,,1
89,171,1277,,15.314941,37.116526,fossil_oil,Priolo, ,Fossil oil,,1
591,1530,71,,-8.94287100000001,39.951859,biomass,Celbi, ,Biomass,,1
90,219,967,,14.919434,41.99216,fossil_coal_gas,Termoli Energia, ,Fossil gas,,1
592,1530,95,,-8.94287100000001,40.061257,biomass,Soporcel, ,Biomass,,1
91,202,941,,17.160645,39.019184,fossil_oil,Scandale, ,Fossil oil,,1
593,1497,110,,-7.03125,40.229218,wind,Raia, ,Wind farm,,1
92,203,684,,17.105713,40.480381,fossil_oil,Taranto, ,Fossil oil,,1
594,1517,112,,-8.261719,40.855371,wind,Montemuro, ,Wind farm,,1
93,223,189,,22.280273,41.590797,fossil_oil,Negotino, ,Fossil oil,,1
595,1513,75,,-8.29467799999999,40.722283,hydro_pure_storage,Ribeiradio, ,Hydro pure storage,,1
94,222,150,,20.775146,41.763117,hydro_ror,Vrutok, ,Hydro run of river & pondage,,1
596,1529,90,,-8.129883,40.680638,wind,Caramulo, ,Wind farm,,1
95,224,606,,21.588135,41.029643,fossil_brown_lignite,Bitola, ,Brown coal/Lignite,,1
96,5925,-1,,0.823974999999992,41.853196,hydro_ror,Camarasa, ,Hydro run of river & pondage,,1
97,241,-1,,0.0439449999999986,40.103286,other_nl,Castello, ,Other or not listed,,1
98,255,1102,,-0.340575999999992,41.013066,other_nl,Teruel, ,Other or not listed,,1
99,259,-1,,0.527343999999999,41.19519,other_nl,Asco, ,Other or not listed,,1
100,263,-1,,0.483397999999997,41.26955,hydro_ror,Riba Roja, ,Hydro run of river & pondage,,1
598,1523,240,,-6.405029,41.368564,hydro_ror,Bemposta, ,Hydro run of river & pondage,,1
101,264,-1,,0.307616999999998,41.393294,hydro_ror,Mequinenza, ,Hydro run of river & pondage,,1
102,227,510,,3.10913100000001,39.850721,other_nl,Murterar, ,Other or not listed,,1
599,1526,195,,-6.328125,41.426253,hydro_ror,Picote, ,Hydro run of river & pondage,,1
103,243,-1,,-1.38427700000001,39.138582,other_nl,Confrentes, ,Other or not listed,,1
104,242,-1,,-1.04370099999999,39.283294,hydro_ror,Confrentes, ,Hydro run of river & pondage,,1
600,1537,245,,-6.28418000000001,41.483891,hydro_ror,Picote II, ,Hydro run of river & pondage,,1
105,242,-1,,-0.955810999999992,39.232253,hydro_ror,Cortes II, ,Hydro run of river & pondage,,1
601,1755,251,,-7.56958000000001,41.343825,hydro_mixed_cons,Foz Tua, ,"Hydro mixed pump storage, under construction",,1
106,252,-1,,-0.626221000000005,40.855371,other_nl,C.T. Escucha, ,Other or not listed,,1
602,6315,240,,-8.64624000000001,41.943149,wind,Alto Minho, ,Wind farm,,1
107,545,326,,1.39526399999999,38.85682,other_nl,Torrent, ,Other or not listed,,1
603,1807,61,,-8.76709000000001,41.640078,biomass,Viana, ,Biomass,,1
108,544,-1,,1.53808599999999,38.68551,other_nl,Formentera, ,Other or not listed,,1
604,1548,142,,-7.84423800000001,41.442726,wind,Alto Coutada, ,Wind farm,,1
109,308,-1,,1.098633,41.087632,other_nl,Foix, ,Other or not listed,,1
110,261,-1,,0.593262000000012,40.730608,other_nl_cons,Vandellos, ,"Other or not listed, under construction",,1
605,796,51,,-9.08569299999999,38.83115,waste_nr,ValorSul, ,Waste,,1
111,327,1256,,-0.142822000000005,39.88445,nuclear_cons,Sagunto, ,"Nuclear, under construction",,1
112,316,-1,,-1.16455100000001,38.030786,hydro_ror,Murcia, ,Hydro run of river & pondage,,1
606,1505,101,,-8.261719,41.43449,wind,T.A. Fafe, ,Wind farm,,1
113,295,-1,,-0.571288999999998,40.555548,wind,Wind farms, ,Wind farm,,1
607,1503,87,,-7.71240200000001,41.812267,wind,Terra Fria, ,Wind farm,,1
114,261,-1,,0.351561999999997,40.763901,wind,Wind farms, ,Wind farm,,1
115,289,-1,,1.065674,41.557922,wind,Wind farms, ,Wind farm,,1
608,1501,630,,-8.32763700000001,41.95949,hydro_pure_storage,Alto Lindoso, ,Hydro pure storage,,1
609,1633,881,,-6.48193399999999,41.253032,hydro_ror,Villarino, ,Hydro run of river & pondage,,1
116,229,-1,,-0.867919999999991,37.561997,other_nl,Fausita, ,Other or not listed,,1
117,229,-1,,-0.747069999999996,37.649034,other_nl_cons,Fausita, ,"Other or not listed, under construction",,1
610,1760,153,,-7.13012700000001,41.26955,hydro_mixed,Baixo Sabor, ,Hydro mixed pump storage,,1
118,261,-1,,0.527343999999999,40.713956,other_nl,Vandellos, ,Other or not listed,,1
611,1553,85,,-7.83325200000001,40.212441,wind,Beiras, ,Wind farm,,1
119,346,990,,27.443848,39.113014,fossil_brown_lignite,Soma B, ,Brown coal/Lignite,,1
120,467,200,,26.938477,38.642618,fossil_coal_gas,Petkim, ,Fossil gas,,1
612,1567,215,,-7.63549799999999,41.021355,wind,Alto Douro, ,Wind farm,,1
121,417,365,,29.300537,39.342794,fossil_brown_lignite,Tutes A, ,Brown coal/Lignite,,1
122,347,420,,27.861328,37.212832,fossil_brown_lignite,Yenikoy, ,Brown coal/Lignite,,1
613,1549,60,,-7.075195,41.483891,wind,Bornes, ,Wind farm,,1
123,348,630,,28.179932,37.274053,fossil_brown_lignite,Yatağan, ,Brown coal/Lignite,,1
614,1569,820,,-6.80053699999999,41.037931,hydro_ror,Aldeadávila II, ,Hydro run of river & pondage,,1
124,358,600,,30.311279,38.925229,fossil_brown_lignite,Seyitömer-B, ,Brown coal/Lignite,,1
615,1758,432,,-6.624756,41.236511,hydro_ror,Aldeadávila II, ,Hydro run of river & pondage,,1
125,359,504,,27.872314,41.021355,fossil_coal_gas,Unimar, ,Fossil gas,,1
126,364,118,,31.519775,41.261291,fossil_coal_hard,Ereğli TES, ,Hard coal,,1
616,1632,120,,-5.789795,41.203456,other_nl,Santiz, ,Other or not listed,,1
127,365,1432,,29.124756,40.245992,fossil_coal_gas,Bursa, ,Fossil gas,,1
617,1674,150,,-6.82251000000001,38.736946,other_nl,Alvarado, ,Other or not listed,,1
128,366,540,,31.212158,36.985003,hydro_pure_storage,Oymapinar, ,Hydro pure storage,,1
618,1764,50,,-6.91040000000001,38.959409,other_nl,Vaguados, ,Other or not listed,,1
619,1685,1195,,-6.679688,37.116526,other_nl,Palos, ,Other or not listed,,1
620,1499,50,,-7.745361,40.797177,wind,Pisco, ,Wind farm,,1
639,1950,0,0,-6.536865,31.998759,hydro_mixed,Ur 2, ,Hydro mixed pump storage, ,1
621,1957,0,0,-7.76733399999999,33.578015,other_nl_cons,Mohammedia, ,"Other or not listed, under construction", ,1
622,1887,0,0,-2.23022499999999,33.970698,other_nl_cons,Ain Beni Mathar, ,"Other or not listed, under construction", ,1
623,1979,0,0,-12.98584,27.916767,other_nl_cons,Tarfaya, ,"Other or not listed, under construction", ,1
624,1945,0,0,-6.580811,34.361576,other_nl_cons,Kenitra, ,"Other or not listed, under construction", ,1
625,1827,0,0,-6.25122100000001,34.948991,other_nl_cons,Dhar Doum, ,"Other or not listed, under construction", ,1
626,1979,0,0,-12.854004,27.974998,other_nl_cons,Tarfaya, ,"Other or not listed, under construction", ,1
627,1929,0,0,-9.283447,30.439202,other_nl_cons, , ,"Other or not listed, under construction", ,1
704,2398,306,,13.688965,50.562304,fossil_brown_lignite,Ledvice, ,Brown coal/Lignite,,1
628,1863,0,0,-5.99853499999999,35.469618,other_nl_cons,Tahadart, ,"Other or not listed, under construction", ,1
629,1905,0,0,-5.15258799999999,34.51561,hydro_mixed,Al-Wahda, ,Hydro mixed pump storage, ,1
630,1957,0,0,-7.88818400000001,33.523079,other_nl,Mohammedia, ,Other or not listed, ,1
129,374,703,,35.804443,41.418015,hydro_pure_storage,Altinkaya Sant, ,Hydro pure storage,,1
631,1878,0,0,-7.67944299999999,31.052934,hydro_mixed,My.Youssef, ,Hydro mixed pump storage, ,1
632,1873,0,0,-6.591797,32.333559,hydro_mixed,Ur 1, ,Hydro mixed pump storage, ,1
633,1944,0,0,-6.69067400000001,31.802893,hydro_mixed,Hassan 1, ,Hydro mixed pump storage, ,1
130,370,798,,32.003174,39.249271,fossil_coal_gas,Ankara DGKCS, ,Fossil gas,,1
634,1952,0,0,-8.77807599999999,32.962586,other_nl,J. Lasfar, ,Other or not listed, ,1
131,375,1320,,35.69458,36.800488,fossil_coal_hard,Sügozü TES, ,Hard coal,,1
635,1886,0,0,-4.515381,34.161818,hydro_mixed,A. Fassi, ,Hydro mixed pump storage, ,1
132,379,2405,,38.419189,37.692514,hydro_pure_storage,Ataturk Sant, ,Hydro pure storage,,1
133,426,1440,,36.815186,38.479395,fossil_brown_lignite,Elbistan-B, ,Brown coal/Lignite,,1
636,1881,0,0,-3.81225600000001,34.252676,hydro_mixed,Taza, ,Hydro mixed pump storage, ,1
134,427,1330,,39.25415,38.942321,hydro_pure_storage,Keban, ,Hydro pure storage,,1
135,381,1800,,39.429932,38.556757,hydro_pure_storage,Karakaya, ,Hydro pure storage,,1
637,1880,0,0,-2.076416,34.252676,other_nl,Jerada, ,Other or not listed, ,1
136,382,-1,,39.902344,39.223743,hydro_ror,Özlüce, ,Hydro run of river & pondage,,1
638,1904,0,0,-7.558594,32.444885,other_nl,Al-Massira, ,Other or not listed, ,1
137,439,142,,42.39624,37.26531,other_nrenew,Karkey, ,Fossil fuel,,1
640,1898,0,0,-5.81176799999999,32.565333,hydro_mixed,A. Hansali, ,Hydro mixed pump storage, ,1
138,385,457,,37.803955,39.427707,fossil_brown_lignite,Kangal Sant., ,Brown coal/Lignite,,1
139,388,670,,41.934814,41.228249,hydro_pure_storage,Deriner, ,Hydro pure storage,,1
641,1943,0,0,-6.240234,31.924193,hydro_mixed,Bin El Ouidane, ,Hydro mixed pump storage, ,1
140,391,500,,37.023926,40.880295,hydro_pure_storage,H.Ugurlu, ,Hydro pure storage,,1
141,393,120,,26.51001,38.548165,wind,Lodos RES, ,Wind farm,,1
642,1951,0,0,-6.811523,32.063956,hydro_mixed, , ,Hydro mixed pump storage, ,1
142,395,1355,,36.947021,38.642618,fossil_brown_lignite,Elbistan-A, ,Brown coal/Lignite,,1
643,1916,0,0,-5.76782200000001,35.782171,other_nl,Tanger, ,Other or not listed, ,1
143,401,320,,27.004395,39.97712,fossil_brown_lignite,Can, ,Brown coal/Lignite,,1
144,402,279,,31.080322,39.715638,hydro_pure_storage,Gokçekaya, ,Hydro pure storage,,1
644,1863,0,0,-5.965576,35.532226,other_nl,Tahadart, ,Other or not listed, ,1
